,year,province,num_of_licenses_issued,num_of_accidents,num_of_dead,num_of_injured,geo_coordinates,x_coordinate,y_coordinate
0,2018,Madinah,23335,20547,483,2666,"24.927534539,39.4918237173",24.927534539,39.4918237173
1,2018,Asir,22362,25964,696,2192,"19.1387847401,42.941470036",19.1387847401,42.941470036
2,2018,Al-Jouf,6834,7355,157,618,"29.9677445762,39.5570371172",29.967744576199998,39.5570371172
3,2018,Tabouk,7613,10034,293,977,"27.90165499,37.2598581394",27.90165499,37.2598581394
4,2018,Al-Baha,2575,1764,111,935,"20.1484058503,41.4665484892",20.1484058503,41.4665484892
5,2018,Eastern,131639,45077,661,2969,"23.2883307307,50.1478302439",23.2883307307,50.1478302439
6,2018,Hail,39575,6955,193,912,"27.400845724,41.4406960508",27.400845724,41.4406960508
7,2018,Qassim,4457,17510,225,1269,"26.1967063704,43.3429998455",26.1967063704,43.3429998455
8,2018,Northern Boarder,3661,10705,75,428,"30.197074783,41.8171186952",30.197074783,41.8171186952
9,2018,Riyadh,493224,79884,1091,4554,"23.0814341634,45.5857512766",23.0814341634,45.5857512766
10,2018,Najran,7431,3124,176,654,"18.4511003068,46.8688495726",18.4511003068,46.868849572600006
11,2018,Jazan,12265,19572,563,2112,"17.2072313962,42.6525807422",17.207231396199997,42.6525807422
12,2018,Makkah,144873,103973,1301,9931,"21.628962766,41.2636898334",21.628962766,41.2636898334
